# 5 101 100
# Pressure, Quantity1, [Quantity2]
# column * scaling factor should be SI units
# scaling factors (constant) for each column given on line below
# 5.569262893282327e+10 2.993025100070677e+03 4.033607075589395e+03
0.000000000000000e+00 4.584767704321243e-01 2.878421476664624e-01 
3.591139506832062e-02 4.584767704321243e-01 2.948185678446894e-01 
7.182279013664124e-02 4.584767704321243e-01 2.992058919078652e-01 
1.077341852049619e-01 4.584767704321243e-01 3.028825230833224e-01 
1.436455802732825e-01 4.584767704321243e-01 3.061377733878047e-01 
1.795569753416031e-01 4.584767704321243e-01 3.091100152618720e-01 
2.154683704099237e-01 4.584767704321243e-01 3.118776956945424e-01 
2.513797654782444e-01 4.584767704321243e-01 3.144901768216977e-01 
2.872911605465649e-01 4.584767704321243e-01 3.169807888924382e-01 
3.232025556148856e-01 4.584767704321243e-01 3.193732260690634e-01 
3.591139506832062e-01 4.584767704321243e-01 3.216850051081974e-01 
3.950253457515268e-01 4.584767704321243e-01 3.239294825381733e-01 
4.309367408198475e-01 4.584767704321243e-01 3.261171007927339e-01 
4.668481358881681e-01 4.584767704321243e-01 3.282561947353871e-01 
5.027595309564887e-01 4.584767704321243e-01 3.303535338562045e-01 
5.386709260248093e-01 4.584767704321243e-01 3.324146985562306e-01 
5.745823210931299e-01 4.584767704321243e-01 3.344443484268897e-01 
6.104937161614505e-01 4.584767704321243e-01 3.364464180153244e-01 
6.464051112297712e-01 4.584767704321243e-01 3.384242625857694e-01 
6.823165062980918e-01 4.584767704321243e-01 3.403807685876773e-01 
7.182279013664125e-01 4.584767704321243e-01 3.423184386978451e-01 
7.541392964347330e-01 4.584767704321243e-01 3.442394582092900e-01 
7.900506915030536e-01 4.584767704321243e-01 3.461457475115535e-01 
8.259620865713743e-01 4.584767704321243e-01 3.480390040478377e-01 
8.618734816396949e-01 4.584767704321243e-01 3.499207362046360e-01 
8.977848767080155e-01 4.584767704321243e-01 3.517922909419253e-01 
9.336962717763362e-01 4.584767704321243e-01 3.536548765133748e-01 
9.696076668446567e-01 4.584767704321243e-01 3.555095812963422e-01 
1.005519061912977e+00 4.584767704321243e-01 3.573573895110699e-01 
1.041430456981298e+00 4.584767704321243e-01 3.591991944311366e-01 
1.077341852049619e+00 4.584767704321243e-01 3.610358095546706e-01 
1.113253247117939e+00 4.584767704321243e-01 3.628679781058365e-01 
1.149164642186260e+00 4.584767704321243e-01 3.646963811598067e-01 
1.185076037254581e+00 4.584767704321243e-01 3.665216446257142e-01 
1.220987432322901e+00 4.584767704321243e-01 3.683443452764881e-01 
1.256898827391222e+00 4.584767704321243e-01 3.701650159787921e-01 
1.292810222459542e+00 4.584767704321243e-01 3.719841502481251e-01 
1.328721617527863e+00 4.584767704321243e-01 3.738022062317964e-01 
1.364633012596184e+00 4.584767704321243e-01 3.756196102045840e-01 
1.400544407664504e+00 4.584767704321243e-01 3.774367596474990e-01 
1.436455802732825e+00 4.584767704321243e-01 3.792540259684098e-01 
1.472367197801145e+00 4.584767704321243e-01 3.810717569138110e-01 
1.508278592869466e+00 4.584767704321243e-01 3.828902787132162e-01 
1.544189987937787e+00 4.584767704321243e-01 3.847098979913011e-01 
1.580101383006107e+00 4.584767704321243e-01 3.865309034775686e-01 
1.616012778074428e+00 4.584767704321243e-01 3.883535675390109e-01 
1.651924173142749e+00 4.584767704321243e-01 3.901781475574742e-01 
1.687835568211069e+00 4.584767704321243e-01 3.920048871704505e-01 
1.723746963279390e+00 4.584767704321243e-01 3.938340173913724e-01 
1.759658358347710e+00 4.584767704321243e-01 3.956657576233322e-01 
1.795569753416031e+00 4.584767704321243e-01 3.975003165783332e-01 
1.831481148484352e+00 4.584767704321243e-01 3.993378931125259e-01 
1.867392543552672e+00 4.584767704321243e-01 4.011786769866150e-01 
1.903303938620993e+00 4.584767704321243e-01 4.030228495594543e-01 
1.939215333689313e+00 4.584767704321243e-01 4.048705844218377e-01 
1.975126728757634e+00 4.584767704321243e-01 4.067220479766905e-01 
2.011038123825955e+00 4.584767704321243e-01 4.085773999710626e-01 
2.046949518894275e+00 4.584767704321243e-01 4.104367939847809e-01 
2.082860913962596e+00 4.584767704321243e-01 4.123003778799887e-01 
2.118772309030917e+00 4.584767704321243e-01 4.141682942153596e-01 
2.154683704099237e+00 4.584767704321243e-01 4.160406806283449e-01 
2.190595099167558e+00 4.584767704321243e-01 4.179176701884463e-01 
2.226506494235879e+00 4.584767704321243e-01 4.197993917241991e-01 
2.262417889304199e+00 4.584767704321243e-01 4.216859701262258e-01 
2.298329284372520e+00 4.584767704321243e-01 4.235775266285371e-01 
2.334240679440840e+00 4.584767704321243e-01 4.254741790699956e-01 
2.370152074509161e+00 4.584767704321243e-01 4.273760421376320e-01 
2.406063469577481e+00 4.584767704321243e-01 4.292832275934384e-01 
2.441974864645802e+00 4.584767704321243e-01 4.311958444859879e-01 
2.477886259714123e+00 4.584767704321243e-01 4.331139993481802e-01 
2.513797654782444e+00 4.584767704321243e-01 4.350377963822493e-01 
2.549709049850764e+00 4.584767704321243e-01 4.369673376330861e-01 
2.585620444919085e+00 4.584767704321243e-01 4.389027231508119e-01 
2.621531839987405e+00 4.584767704321243e-01 4.408440511434679e-01 
2.657443235055726e+00 4.584767704321243e-01 4.427914181206034e-01 
2.693354630124047e+00 4.584767704321243e-01 4.447449190284819e-01 
2.729266025192367e+00 4.584767704321243e-01 4.467046473775388e-01 
2.765177420260688e+00 4.584767704321243e-01 4.486706953627133e-01 
2.801088815329008e+00 4.584767704321243e-01 4.506431539771738e-01 
